epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.955,0.2833,2.13619,0.9871,0.3666,0.44458,0.26684,0.14026,0.88608,2.35395,1.56202,0.000302663,0.000302663,0.000302663
2,346.678,0.15508,1.20982,0.92023,0.3922,0.4288,0.32509,0.17115,1.4438,2.30971,2.15277,0.000545702,0.000545702,0.000545702
3,504.533,0.13904,1.14343,0.91469,0.45541,0.43756,0.32332,0.1603,1.11739,2.63952,1.99509,0.000728747,0.000728747,0.000728747
4,666.848,0.12951,1.106,0.91132,0.4493,0.38447,0.33452,0.19021,1.24691,2.65364,2.20125,0.000639027,0.000639027,0.000639027
5,823.166,0.11766,1.06407,0.90815,0.42665,0.39312,0.317,0.16072,1.44438,2.33487,2.45907,0.000549036,0.000549036,0.000549036
6,981.21,0.10604,1.03163,0.90787,0.42242,0.36381,0.2918,0.15411,1.49085,2.60453,2.47165,0.000459045,0.000459045,0.000459045
7,1139.75,0.09847,1.00185,0.90446,0.42856,0.37617,0.31547,0.17288,1.45205,2.48128,2.49732,0.000369054,0.000369054,0.000369054
8,1296.77,0.08982,0.97787,0.90476,0.42855,0.38455,0.3196,0.19005,1.49028,2.35179,2.64396,0.000279063,0.000279063,0.000279063
9,1452.33,0.08313,0.95335,0.90408,0.42395,0.44043,0.35831,0.21139,1.47984,2.27286,2.64854,0.000189072,0.000189072,0.000189072
10,1611.03,0.07709,0.92656,0.90208,0.44264,0.41953,0.34719,0.20032,1.51558,2.37207,2.72398,9.9081e-05,9.9081e-05,9.9081e-05
